slug,city,state
lake-nona-fl,Lake Nona,Florida
horizon-west-fl,Horizon West,Florida
celebration-fl,Celebration,Florida
champions-gate-fl,Champions Gate,Florida
windermere-fl,Windermere,Florida
minneola-fl,Minneola,Florida
groveland-fl,Groveland,Florida
mount-dora-fl,Mount Dora,Florida
deland-fl,DeLand,Florida
davenport-fl,Davenport,Florida
